name	electrode_name	type	units
1	e000	n/a	V
2	e001	n/a	V
3	e002	n/a	V
4	e003	n/a	V
5	e004	n/a	V
6	e005	n/a	V
7	e006	n/a	V
8	e007	n/a	V
9	e008	n/a	V
10	e009	n/a	V
11	e010	n/a	V
12	e011	n/a	V
13	e012	n/a	V
14	e013	n/a	V
15	e014	n/a	V
16	e015	n/a	V
17	e016	n/a	V
18	e017	n/a	V
19	e018	n/a	V
20	e019	n/a	V
21	e020	n/a	V
22	e021	n/a	V
23	e022	n/a	V
24	e023	n/a	V
25	e024	n/a	V
26	e025	n/a	V
27	e026	n/a	V
28	e027	n/a	V
29	e028	n/a	V
30	e029	n/a	V
31	e030	n/a	V
32	e031	n/a	V
33	e032	n/a	V
34	e033	n/a	V
35	e034	n/a	V
36	e035	n/a	V
37	e036	n/a	V
38	e037	n/a	V
39	e038	n/a	V
40	e039	n/a	V
41	e040	n/a	V
42	e041	n/a	V
43	e042	n/a	V
44	e043	n/a	V
45	e044	n/a	V
46	e045	n/a	V
47	e046	n/a	V
48	e047	n/a	V
49	e048	n/a	V
50	e049	n/a	V
51	e050	n/a	V
52	e051	n/a	V
53	e052	n/a	V
54	e053	n/a	V
55	e054	n/a	V
56	e055	n/a	V
57	e056	n/a	V
58	e057	n/a	V
59	e058	n/a	V
60	e059	n/a	V
61	e060	n/a	V
62	e061	n/a	V
63	e062	n/a	V
64	e063	n/a	V
