name	electrode_name	type	units	sampling_frequency	stream_id	gain
1	e000	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
2	e001	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
3	e002	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
4	e003	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
5	e004	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
6	e005	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
7	e006	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
8	e007	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
9	e008	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
10	e009	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
11	e010	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
12	e011	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
13	e012	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
14	e013	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
15	e014	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
16	e015	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
17	e016	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
18	e017	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
19	e018	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
20	e019	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
21	e020	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
22	e021	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
23	e022	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
24	e023	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
25	e024	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
26	e025	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
27	e026	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
28	e027	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
29	e028	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
30	e029	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
31	e030	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
32	e031	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
33	e032	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
34	e033	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
35	e034	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
36	e035	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
37	e036	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
38	e037	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
39	e038	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
40	e039	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
41	e040	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
42	e041	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
43	e042	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
44	e043	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
45	e044	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
46	e045	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
47	e046	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
48	e047	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
49	e048	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
50	e049	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
51	e050	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
52	e051	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
53	e052	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
54	e053	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
55	e054	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
56	e055	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
57	e056	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
58	e057	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
59	e058	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
60	e059	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
61	e060	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
62	e061	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
63	e062	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
64	e063	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
